order_id,customer_id,product_id,order_date,quantity,sales,discount,profit
O100001,C3457,P1061,2025-05-07,2,72620.8,0.0,10032.1
O100002,C5242,P1274,2024-03-23,1,644.26,161.06,-60.9
O100003,C4889,P1258,2025-08-01,2,874.78,97.2,75.35
O100004,C2085,P1071,2024-07-18,2,27409.95,3045.55,3641.51
O100005,C1265,P1132,2024-12-22,1,3540.92,393.44,396.32
O100006,C1671,P1235,2024-01-09,2,1470.5,0.0,145.82
O100007,C3526,P1138,2024-01-13,1,37143.39,0.0,4626.48
O100008,C1462,P1152,2025-07-30,1,16669.58,1852.18,2787.53
O100009,C2259,P1233,2025-03-05,1,1338.25,0.0,151.76
O100010,C5112,P1017,2024-11-01,1,83462.23,9273.58,10812.4
O100011,C3013,P1156,2025-11-16,4,80725.76,4248.72,12144.1
O100012,C5983,P1241,2025-12-17,1,341.2,0.0,25.08
O100013,C4794,P1164,2025-12-06,2,14412.32,0.0,2593.06
O100014,C2338,P1174,2024-12-27,2,15363.95,808.63,2127.79
O100015,C1040,P1213,2025-08-27,2,160.9,0.0,22.36
O100016,C3649,P1015,2024-02-19,1,103153.41,5429.13,17043.42
O100017,C4541,P1246,2025-06-17,1,159.37,8.39,11.06
O100018,C3342,P1205,2025-08-22,2,1055.44,186.26,138.62
O100019,C5522,P1160,2024-01-03,2,27329.06,6832.26,5016.19
O100020,C4859,P1168,2025-07-26,1,20897.14,0.0,2530.76
O100021,C3613,P1255,2025-10-09,5,1733.5,0.0,112.02
O100022,C1102,P1121,2024-05-26,1,24843.22,0.0,3134.71
O100023,C2702,P1267,2025-11-03,1,2145.35,536.34,145.0
O100024,C3472,P1028,2024-05-12,1,71316.59,0.0,10593.34
O100025,C2261,P1076,2025-11-21,4,153947.04,8102.48,26780.37
O100026,C5183,P1268,2025-11-12,2,1005.44,0.0,11.87
O100027,C3122,P1221,2024-12-22,3,2466.13,129.8,288.9
O100028,C2020,P1279,2025-12-27,4,11102.48,0.0,1400.64
O100029,C4899,P1056,2025-01-20,2,22060.53,3893.03,3279.81
O100030,C4064,P1281,2025-06-06,1,1282.58,67.5,185.51
O100031,C1989,P1088,2024-11-25,3,15649.98,823.68,1297.01
O100032,C3674,P1190,2024-05-04,1,35025.61,0.0,5484.14
O100033,C4499,P1029,2024-08-17,2,114189.71,12687.75,16326.1
O100034,C3242,P1019,2024-05-24,1,44070.52,7777.15,5919.64
O100035,C2540,P1111,2024-05-22,1,3188.18,0.0,401.55
O100036,C4476,P1192,2025-05-01,2,61787.11,6865.23,-6294.9
O100037,C4462,P1083,2024-02-18,2,92898.36,0.0,10179.59
O100038,C1088,P1251,2024-03-03,3,585.33,30.81,47.88
O100039,C2177,P1062,2025-11-09,1,46295.83,5143.98,5556.22
O100040,C4264,P1299,2024-05-25,3,59534.03,6614.89,12765.8
O100041,C2130,P1228,2025-03-08,2,1246.72,0.0,147.78
O100042,C5815,P1169,2024-01-07,3,9726.26,1080.7,1457.13
O100043,C1817,P1107,2025-06-29,2,17751.76,1972.42,2422.2
O100044,C4766,P1107,2025-01-29,2,17751.76,1972.42,1421.65
O100045,C5995,P1028,2024-01-18,1,64184.93,7131.66,4702.91
O100046,C2743,P1136,2025-03-25,3,99825.39,0.0,16071.0
O100047,C4044,P1054,2024-04-27,1,10207.44,0.0,1795.33
O100048,C1545,P1173,2025-12-08,2,8747.12,0.0,2327.82
O100049,C4133,P1035,2025-01-02,1,62576.76,15644.19,8032.47
O100050,C5947,P1248,2024-03-10,1,141.49,7.45,-3.38
O100051,C5869,P1011,2024-12-13,1,58617.23,6513.03,5951.61
O100052,C3066,P1284,2025-10-30,1,439.72,23.14,44.5
O100053,C5107,P1297,2025-08-06,1,327.61,17.24,-18.98
O100054,C5133,P1068,2024-08-10,1,8197.41,0.0,703.68
O100055,C2658,P1246,2025-01-11,2,285.19,50.33,11.86
O100056,C5118,P1075,2025-10-05,1,31337.1,3481.9,5648.8
O100057,C1816,P1148,2024-10-15,1,8536.83,1506.5,1963.71
O100058,C5903,P1251,2025-05-09,2,390.22,20.54,45.07
O100059,C5318,P1064,2024-12-11,1,20229.55,2247.73,2873.98
O100060,C3567,P1139,2024-08-28,1,19648.86,2183.21,3151.54
O100061,C2936,P1112,2024-04-13,2,7892.17,876.91,1172.76
O100062,C5724,P1083,2025-10-07,1,44126.72,2322.46,3233.31
O100063,C1376,P1129,2025-01-31,1,14653.06,0.0,2650.94
O100064,C3496,P1037,2025-03-11,2,85825.08,0.0,10561.66
O100065,C3433,P1157,2024-01-20,1,12273.47,2165.91,1761.98
O100066,C2913,P1056,2025-04-22,1,12976.78,0.0,1069.57
O100067,C1574,P1083,2024-05-30,2,92898.36,0.0,8756.67
O100068,C2266,P1100,2025-10-12,1,3070.4,341.16,364.12
O100069,C5931,P1145,2025-04-26,1,28130.64,0.0,4325.7
O100070,C5038,P1009,2024-11-27,4,124868.72,0.0,6072.06
O100071,C5186,P1011,2024-10-10,1,65130.26,0.0,6821.37
O100072,C3561,P1292,2024-03-23,1,2603.08,289.23,261.83
